id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9138664,Private Lg Room 15 min to Manhattan,47594947,Iris,Queens,Sunnyside,40.74271,-73.92493,Private room,74,2,6,43611,0.13,1,5
8741020,Voted #1 Location Quintessential 1BR W Village Apt,45854238,John,Manhattan,West Village,40.73631,-74.00611,Entire home/apt,245,3,51,43362,1.12,1,0
34602077,Spacious 1 bedroom apartment 15min from Manhattan,261055465,Regan,Queens,Astoria,40.76424,-73.92351,Entire home/apt,125,3,1,43609,0.65,1,13
23203149,Big beautiful bedroom in huge Bushwick apartment,143460,Megan,Brooklyn,Bushwick,40.69839,-73.92044,Private room,65,2,8,43639,0.52,2,8
4402805,LRG 2br BKLYN APT CLOSE TO TRAINS AND PARK,22807362,Jenny,Brooklyn,Prospect-Lefferts Gardens,40.66025,-73.9627,Entire home/apt,120,3,3,43340,0.05,1,16
30070126,✩Prime Renovated 1/1 Apartment in Upper East Side✩,4968673,Sean,Manhattan,Upper East Side,40.76831,-73.95929,Entire home/apt,200,5,2,43611,0.68,1,71
34231172,Fully renovated brick house floor in Brooklyn,59642348,Kevin,Brooklyn,Sunset Park,40.6455,-74.01262,Entire home/apt,95,1,9,43654,9,1,106
5856760,"Renovated 1BR in exciting, convenient area",29408349,Chad,Manhattan,Chinatown,40.7149,-73.99976,Entire home/apt,179,5,7,42843,0.14,1,0
7929441,Beautiful Loft w/ Waterfront View!,1453898,Anthony,Brooklyn,Williamsburg,40.71268,-73.96676,Private room,105,2,232,43635,5,3,64
18340498,Private bedroom and bathroom near Prospect Park,33723491,Suzzanne,Brooklyn,Flatbush,40.65274,-73.95848,Private room,39,2,7,43007,0.27,1,0
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,43645,1.05,5,280
15982208,"Huge Yellow Room- AC, 20 Min to Manhattan",103841276,Cristina And Sasha,Brooklyn,Bushwick,40.69891,-73.93072,Private room,45,1,158,43641,4.93,2,201
14994076,Dominiques NYC 4Bedrm crashpad**Stay here**metro,310670,Vie,Bronx,Eastchester,40.88207,-73.83538,Entire home/apt,299,2,2,43606,0.18,13,358
22702906,Cozy Brownstone Brooklyn Studio Near Subway!!,6291509,Daniel,Brooklyn,Boerum Hill,40.6876,-73.98472,Entire home/apt,160,4,4,43369,0.3,1,14
25015496,"5min from JFK airport, Train, Casino,  Racetrack",189108951,Doris,Queens,South Ozone Park,40.66954,-73.80601,Entire home/apt,93,2,48,43638,3.47,1,316
7074488,"Bilevel Penthouse: Park, City Views",43772,David,Brooklyn,Greenpoint,40.72074,-73.94741,Entire home/apt,272,3,3,42247,0.06,1,0
34432701,THE STUDIO LODGE NYC,20012998,Víctor,Brooklyn,Bedford-Stuyvesant,40.68087,-73.92061,Private room,60,3,3,43646,2.31,2,322
15971308,Private Room with Private Bathroom in Harlem,1301576,Siobhan,Manhattan,East Harlem,40.80604,-73.94233,Private room,85,3,97,43640,3.07,2,14
22078755,Bohemian East Village Apartment,50292311,Brian,Manhattan,East Village,40.72837,-73.98546,Entire home/apt,250,4,17,43613,1.1,1,5
